time,site,ip,hop_num,min_rtt,avg_rtt,max_rtt
2021-04-21 22:07:47.508589+00:00,medium.com,96.110.33.62,10,22.536,25.334,31.169
2021-04-21 22:07:47.508755+00:00,medium.com,50.242.151.226,11,22.781,32.726,38.722
2021-04-21 22:07:47.508920+00:00,medium.com,162.159.152.4,12,21.148,29.061,47.639
2021-04-21 22:07:55.458369+00:00,docs.python.org,10.0.0.1,1,2.45,3.023,3.518
2021-04-21 22:07:55.458791+00:00,docs.python.org,96.120.88.185,2,14.248,15.441,16.993
2021-04-21 22:07:55.459057+00:00,docs.python.org,96.110.177.73,3,13.435,15.31,19.448
2021-04-21 22:07:55.459239+00:00,docs.python.org,69.139.199.197,4,12.642,18.905,30.601
2021-04-21 22:07:55.459413+00:00,docs.python.org,96.110.41.125,5,11.804,14.369,15.983
2021-04-21 22:07:55.459582+00:00,docs.python.org,96.110.46.42,6,13.819,25.085,40.697
2021-04-21 22:07:55.459748+00:00,docs.python.org,96.110.37.174,7,16.549,22.517,28.032
2021-04-21 22:07:55.459911+00:00,docs.python.org,96.110.32.254,8,14.365,19.038,30.935
2021-04-21 22:07:55.460071+00:00,docs.python.org,173.167.57.86,9,12.99,18.376,32.121
2021-04-21 22:07:55.460233+00:00,docs.python.org,151.101.40.223,10,12.662,20.977,32.775
2021-04-21 22:08:16.339721+00:00,www.cplusplus.com,10.0.0.1,1,1.836,3.064,4.495
2021-04-21 22:08:16.340033+00:00,www.cplusplus.com,96.120.88.185,2,12.443,13.438,14.352
2021-04-21 22:08:16.340266+00:00,www.cplusplus.com,96.110.177.73,3,13.854,19.898,40.106
2021-04-21 22:08:16.340494+00:00,www.cplusplus.com,69.139.199.197,4,12.693,20.289,29.376
2021-04-21 22:08:16.340677+00:00,www.cplusplus.com,96.110.41.125,5,14.524,20.738,24.352
2021-04-21 22:08:16.340851+00:00,www.cplusplus.com,96.110.41.206,6,13.048,19.355,30.649
2021-04-21 22:08:16.341022+00:00,www.cplusplus.com,142.44.208.141,7,13.011,20.022,43.77
2021-04-21 22:08:16.341189+00:00,www.cplusplus.com,198.27.73.227,8,60.955,64.778,71.582
2021-04-21 22:08:16.341353+00:00,www.cplusplus.com,192.99.146.140,9,77.787,95.86,162.242
2021-04-21 22:08:16.341518+00:00,www.cplusplus.com,198.27.73.98,11,79.724,85.548,91.3
2021-04-21 22:08:16.341682+00:00,www.cplusplus.com,144.217.110.12,12,78.266,81.647,86.856
2021-04-21 22:08:26.101226+00:00,oiala.ai,10.0.0.1,1,1.534,2.645,3.556
2021-04-21 22:08:26.101649+00:00,oiala.ai,96.120.88.185,2,14.799,18.384,24.892
2021-04-21 22:08:26.101944+00:00,oiala.ai,96.110.177.73,3,14.52,17.832,21.638
2021-04-21 22:08:26.102126+00:00,oiala.ai,69.139.199.197,4,13.125,14.622,18.098
2021-04-21 22:08:26.102301+00:00,oiala.ai,96.110.41.121,5,14.251,17.006,23.751
2021-04-21 22:08:26.102471+00:00,oiala.ai,96.110.46.30,6,13.07,18.499,27.766
2021-04-21 22:08:26.102640+00:00,oiala.ai,96.110.37.178,7,15.624,25.477,41.765
2021-04-21 22:08:26.102807+00:00,oiala.ai,96.110.38.89,8,22.657,28.254,38.096
2021-04-21 22:08:26.102971+00:00,oiala.ai,96.110.45.185,9,21.311,27.362,38.904
2021-04-21 22:08:26.103135+00:00,oiala.ai,96.110.33.62,10,22.713,31.3,52.416
2021-04-21 22:08:26.103297+00:00,oiala.ai,50.242.151.226,11,21.018,29.021,37.713
2021-04-21 22:08:26.103459+00:00,oiala.ai,104.21.44.243,12,18.926,23.706,34.786
2021-04-21 22:11:36.831010+00:00,docs.google.com,10.0.0.1,1,2.784,3.4,4.046
2021-04-21 22:11:36.831456+00:00,docs.google.com,96.120.88.185,2,11.934,13.283,15.125
2021-04-21 22:11:36.831742+00:00,docs.google.com,96.110.177.73,3,12.393,14.832,20.561
2021-04-21 22:11:36.831920+00:00,docs.google.com,69.139.199.197,4,17.373,26.444,46.592
2021-04-21 22:11:36.832092+00:00,docs.google.com,68.86.143.93,5,11.829,14.755,18.999
